"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"IRL",2015,3,"rolling",0.849,0.151,0.359468438538206
"ISR",2015,3,"rolling",0.811,0.189,0.525
"ITA",2015,3,"rolling",0.625,0.375,0.36
"KGZ",2015,3,"rolling",0.562,0.438,0.570526315789474
"LTU",2015,3,"rolling",0.887,0.113,0.264255319148936
"LUX",2015,3,"rolling",0.586,0.414,1.71666666666667
"LVA",2015,3,"rolling",0.759,0.241,2.25
"MAR",2015,3,"rolling",0.712,0.288,0.177857142857143
"MDA",2015,3,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,3,"rolling",0.957,0.043,0.8
"NLD",2015,3,"rolling",0.509,0.491,1.16363636363636
"NOR",2015,3,"rolling",0.414,0.586,2.27051282051282
"POL",2015,3,"rolling",0.489,0.511,0.52224358974359
"PRT",2015,3,"rolling",0.811,0.189,2.2046511627907
"ROU",2015,3,"rolling",0.854,0.146,0.452439024390244
"SRB",2015,3,"rolling",0.609,0.391,0.334285714285714
"SVN",2015,3,"rolling",0.811,0.189,1
"SVK",2015,3,"rolling",0.75,0.25,1.528
"TUR",2015,3,"rolling",0.55,0.45,0.530952380952381
"USA",2015,3,"rolling",0.679,0.321,0.496862745098039
"ARM",2016,3,"rolling",0.654,0.346,2.61081081081081
"AUT",2016,3,"rolling",0.176,0.824,0.896666666666667
"BEL",2016,3,"rolling",0.885,0.115,0.85
"CHE",2016,3,"rolling",0.788,0.212,0.666666666666667
"CZE",2016,3,"rolling",0.788,0.212,0.596428571428571
"DNK",2016,3,"rolling",0.536,0.464,0.625980392156863
"EST",2016,3,"rolling",0.538,0.462,1.8890350877193
"ESP",2016,3,"rolling",0.429,0.571,1.09333333333333
"GEO",2016,3,"rolling",0.674,0.326,0.0645833333333333
"GRC",2016,3,"rolling",0.6,0.4,0.344444444444444
"HRV",2016,3,"rolling",0.714,0.286,0.205263157894737
"HUN",2016,3,"rolling",0.75,0.25,0.405
"IRL",2016,3,"rolling",0.731,0.269,0.462631578947368
"ISR",2016,3,"rolling",0.827,0.173,0.852564102564103
"ITA",2016,3,"rolling",0.455,0.545,0.573333333333333
"KGZ",2016,3,"rolling",0.28,0.72,2.12606060606061
"LTU",2016,3,"rolling",0.846,0.154,0.871111111111111
"LUX",2016,3,"rolling",0.679,0.321,0.712549019607843
"LVA",2016,3,"rolling",0.75,0.25,0.591666666666667
"MAR",2016,3,"rolling",0.723,0.277,0.172051282051282
"MDA",2016,3,"rolling",1,0,0
"MLT",2016,3,"rolling",0.815,0.185,0.3
"NLD",2016,3,"rolling",0.404,0.596,1.14337121212121
"NOR",2016,3,"rolling",0.321,0.679,0.97047619047619
"POL",2016,3,"rolling",0.565,0.435,0.658585858585859
"PRT",2016,3,"rolling",0.692,0.308,1.15833333333333
"ROU",2016,3,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,3,"rolling",0.625,0.375,0.904285714285714
"SVN",2016,3,"rolling",0.865,0.135,0.460869565217391
"SVK",2016,3,"rolling",0.732,0.268,0.192481203007519
"TUR",2016,3,"rolling",0.333,0.667,0.314285714285714
"USA",2016,3,"rolling",0.558,0.442,0.731634615384615
"ARM",2017,3,"rolling",0.75,0.25,0.558119658119658
"AUT",2017,3,"rolling",0.409,0.591,1.51666666666667
"BEL",2017,3,"rolling",0.8,0.2,0.932142857142857
"CHE",2017,3,"rolling",0.808,0.192,0.807142857142857
"CZE",2017,3,"rolling",0.769,0.231,1.50952380952381
"DNK",2017,3,"rolling",0.786,0.214,0.17719298245614
"EST",2017,3,"rolling",0.519,0.481,0.799299719887955
"ESP",2017,3,"rolling",0.643,0.357,0.594444444444444
"GEO",2017,3,"rolling",0.739,0.261,0.0266666666666667
"GRC",2017,3,"rolling",0.635,0.365,1.67666666666667
"HRV",2017,3,"rolling",0.577,0.423,3.41666666666667
"HUN",2017,3,"rolling",0.643,0.357,3.35526315789474
"IRL",2017,3,"rolling",0.827,0.173,0.333333333333333
"ISR",2017,3,"rolling",0.769,0.231,1.06952380952381
"ITA",2017,3,"rolling",0.391,0.609,1.02
"KGZ",2017,3,"rolling",0.417,0.583,0.142857142857143
"LTU",2017,3,"rolling",0.886,0.114,0.9
"LUX",2017,3,"rolling",0.75,0.25,0.619047619047619
"LVA",2017,3,"rolling",0.607,0.393,1.27254901960784
"MAR",2017,3,"rolling",0.692,0.308,0.347091503267974
"MDA",2017,3,"rolling",1,0,0
"MLT",2017,3,"rolling",0.75,0.25,0.571428571428571
"NLD",2017,3,"rolling",0.538,0.462,0.728846153846154
"NOR",2017,3,"rolling",0.429,0.571,1.67857142857143
"POL",2017,3,"rolling",0.481,0.519,2.35564935064935
"PRT",2017,3,"rolling",0.865,0.135,0.198550724637681
"ROU",2017,3,"rolling",1,0,0
"SRB",2017,3,"rolling",0.409,0.591,1.63857142857143
"SVN",2017,3,"rolling",0.865,0.135,1.57348484848485
"SVK",2017,3,"rolling",0.673,0.327,1.85740740740741
"TUR",2017,3,"rolling",0.51,0.49,1.67540404040404
"USA",2017,3,"rolling",0.558,0.442,1.32172619047619
"ARM",2015,4,"rolling",0.829,0.171,0.0886554621848739
"AUT",2015,4,"rolling",0.188,0.812,1.13571428571429
"BEL",2015,4,"rolling",0.849,0.151,2.36666666666667
"CHE",2015,4,"rolling",0.83,0.17,1.48577235772358
"CZE",2015,4,"rolling",0.811,0.189,2.275
"DNK",2015,4,"rolling",0.667,0.333,0.231929824561404
"EST",2015,4,"rolling",0.566,0.434,1.23679487179487
"ESP",2015,4,"rolling",0.655,0.345,2.28888888888889
"GEO",2015,4,"rolling",0.755,0.245,0.146428571428571
"GRC",2015,4,"rolling",0.471,0.529,2.51538461538462
"HRV",2015,4,"rolling",0.63,0.37,3.18333333333333
"HUN",2015,4,"rolling",0.75,0.25,0.983333333333333
"IRL",2015,4,"rolling",0.849,0.151,0.371428571428571
"ISR",2015,4,"rolling",0.774,0.226,0.575
"ITA",2015,4,"rolling",0.625,0.375,0.5
"KGZ",2015,4,"rolling",0.625,0.375,0.556691729323308
"LTU",2015,4,"rolling",0.849,0.151,0.304255319148936
"LUX",2015,4,"rolling",0.621,0.379,1.56666666666667
"LVA",2015,4,"rolling",0.724,0.276,2.625
"MAR",2015,4,"rolling",0.769,0.231,0.162857142857143
"MDA",2015,4,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,4,"rolling",0.957,0.043,0.8
"NLD",2015,4,"rolling",0.472,0.528,1.38515151515152
"NOR",2015,4,"rolling",0.414,0.586,2.6801282051282
"POL",2015,4,"rolling",0.468,0.532,0.528205128205128
"PRT",2015,4,"rolling",0.83,0.17,2.75
"ROU",2015,4,"rolling",0.854,0.146,0.304878048780488
"SRB",2015,4,"rolling",0.565,0.435,0.415238095238095
"SVN",2015,4,"rolling",0.792,0.208,1.12
"SVK",2015,4,"rolling",0.673,0.327,1.93755555555556
"TUR",2015,4,"rolling",0.475,0.525,0.600892857142857
"USA",2015,4,"rolling",0.698,0.302,0.521862745098039
"ARM",2016,4,"rolling",0.673,0.327,2.61081081081081
"AUT",2016,4,"rolling",0.118,0.882,1.11333333333333
"BEL",2016,4,"rolling",0.846,0.154,0.933333333333333
"CHE",2016,4,"rolling",0.75,0.25,0.602777777777778
"CZE",2016,4,"rolling",0.75,0.25,0.508333333333333
"DNK",2016,4,"rolling",0.571,0.429,0.690196078431373
"EST",2016,4,"rolling",0.558,0.442,1.97850877192982
"ESP",2016,4,"rolling",0.429,0.571,1.07166666666667
