"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"SRB",2015,3,"rolling",0.522,0.478,0.33952380952381
"SVN",2015,3,"rolling",0.83,0.17,0.85
"SVK",2015,3,"rolling",0.712,0.288,1.56533333333333
"TUR",2015,3,"rolling",0.55,0.45,0.591071428571429
"USA",2015,3,"rolling",0.679,0.321,0.404869281045752
"ARM",2016,3,"rolling",0.635,0.365,2.56081081081081
"AUT",2016,3,"rolling",0.059,0.941,1.19666666666667
"BEL",2016,3,"rolling",0.846,0.154,0.933333333333333
"CHE",2016,3,"rolling",0.788,0.212,0.583333333333333
"CZE",2016,3,"rolling",0.808,0.192,0.446428571428571
"DNK",2016,3,"rolling",0.571,0.429,0.537745098039216
"EST",2016,3,"rolling",0.596,0.404,1.91491228070175
"ESP",2016,3,"rolling",0.464,0.536,1.01833333333333
"GEO",2016,3,"rolling",0.652,0.348,0.0683333333333333
"GRC",2016,3,"rolling",0.667,0.333,0.322222222222222
"HRV",2016,3,"rolling",0.679,0.321,0.271929824561404
"HUN",2016,3,"rolling",0.75,0.25,0.388333333333333
"IRL",2016,3,"rolling",0.731,0.269,0.442631578947368
"ISR",2016,3,"rolling",0.846,0.154,0.733333333333333
"ITA",2016,3,"rolling",0.409,0.591,0.745
"KGZ",2016,3,"rolling",0.28,0.72,2.32424242424242
"LTU",2016,3,"rolling",0.846,0.154,0.902222222222222
"LUX",2016,3,"rolling",0.643,0.357,0.762549019607843
"LVA",2016,3,"rolling",0.821,0.179,0.458333333333333
"MAR",2016,3,"rolling",0.702,0.298,0.177606837606838
"MDA",2016,3,"rolling",1,0,0
"MLT",2016,3,"rolling",0.778,0.222,0.304545454545455
"NLD",2016,3,"rolling",0.404,0.596,1.37670454545455
"NOR",2016,3,"rolling",0.321,0.679,0.87047619047619
"POL",2016,3,"rolling",0.5,0.5,0.737070707070707
"PRT",2016,3,"rolling",0.731,0.269,1.00555555555556
"ROU",2016,3,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,3,"rolling",0.562,0.438,0.918571428571428
"SVN",2016,3,"rolling",0.846,0.154,0.560869565217391
"SVK",2016,3,"rolling",0.756,0.244,0.183458646616541
"TUR",2016,3,"rolling",0.2,0.8,0.364285714285714
"USA",2016,3,"rolling",0.615,0.385,0.783557692307692
"ARM",2017,3,"rolling",0.769,0.231,0.555555555555556
"AUT",2017,3,"rolling",0.318,0.682,1.875
"BEL",2017,3,"rolling",0.771,0.229,1.00714285714286
"CHE",2017,3,"rolling",0.808,0.192,1.0047619047619
"CZE",2017,3,"rolling",0.788,0.212,1.80714285714286
"DNK",2017,3,"rolling",0.714,0.286,0.215789473684211
"EST",2017,3,"rolling",0.577,0.423,0.894677871148459
"ESP",2017,3,"rolling",0.643,0.357,0.630555555555556
"GEO",2017,3,"rolling",0.739,0.261,0.0266666666666667
"GRC",2017,3,"rolling",0.615,0.385,1.59666666666667
"HRV",2017,3,"rolling",0.615,0.385,2.41666666666667
"HUN",2017,3,"rolling",0.643,0.357,2.80526315789474
"IRL",2017,3,"rolling",0.808,0.192,0.471111111111111
"ISR",2017,3,"rolling",0.769,0.231,0.82952380952381
"ITA",2017,3,"rolling",0.435,0.565,0.936666666666667
"KGZ",2017,3,"rolling",0.417,0.583,0.151428571428571
"LTU",2017,3,"rolling",0.886,0.114,0.5
"LUX",2017,3,"rolling",0.714,0.286,0.59047619047619
"LVA",2017,3,"rolling",0.643,0.357,1.10588235294118
"MAR",2017,3,"rolling",0.692,0.308,0.340980392156863
"MDA",2017,3,"rolling",1,0,0
"MLT",2017,3,"rolling",0.643,0.357,0.605263157894737
"NLD",2017,3,"rolling",0.538,0.462,0.710897435897436
"NOR",2017,3,"rolling",0.429,0.571,1.94761904761905
"POL",2017,3,"rolling",0.5,0.5,1.72188311688312
"PRT",2017,3,"rolling",0.885,0.115,0.248550724637681
"ROU",2017,3,"rolling",1,0,0
"SRB",2017,3,"rolling",0.455,0.545,1.68
"SVN",2017,3,"rolling",0.846,0.154,1.57575757575758
"SVK",2017,3,"rolling",0.654,0.346,1.49814814814815
